ANTH 20100,!NONE
ANTH 20405,Third- or fourth-year standing
ANTH 20535,!NONE
ANTH 20701,!NONE
ANTH 20702,!NONE
ANTH 21015,!NONE
ANTH 21102,!NONE
ANTH 21107,!NONE
ANTH 21201,!NONE
ANTH 21217,!NONE
ANTH 21225,!NONE
ANTH 21230,!NONE
ANTH 21251,!NONE
ANTH 21254,!NONE
ANTH 21255,!NONE
ANTH 21264,!NONE
ANTH 21265,!NONE
ANTH 21303,!NONE
ANTH 21305,!NONE
ANTH 21322,!NONE
ANTH 21401,!NONE
ANTH 21406,!NONE
ANTH 21420,"Preference given to third-year anthropology majors, others by consent only"
ANTH 21610,!NONE
ANTH 21725,!NONE
ANTH 22000,!NONE
ANTH 22105,!NONE
ANTH 22123,!NONE
ANTH 22125,!NONE
ANTH 22130,!NONE
ANTH 22150,!NONE
ANTH 22205,!NONE
ANTH 22400,!NONE
ANTH 22530,!NONE
ANTH 22535,!NONE
ANTH 22606,!NONE
ANTH 22609,!NONE
ANTH 22710,!NONE
ANTH 22715,!NONE
ANTH 22910,!NONE
ANTH 23101,!NONE
ANTH 23102,!NONE
ANTH 23103,!NONE
ANTH 23600,!NONE
ANTH 23620,!NONE
ANTH 23630,!NONE
ANTH 23715,!NONE
ANTH 23805,!NONE
ANTH 24001,!NONE
ANTH 24002,!NONE
ANTH 24003,!NONE
ANTH 24101,!NONE
ANTH 24102,!NONE
ANTH 24315,!NONE
ANTH 24320,Third- or fourth-year standing. Instructor consent required.
ANTH 24511,Advanced standing and consent of instructor
ANTH 24512,Advanced standing or consent of instructor
ANTH 24705,!NONE
ANTH 24800,!NONE
ANTH 25103,!NONE
ANTH 25116,!NONE
ANTH 25117,!NONE
ANTH 25200,!NONE
ANTH 25305,!NONE
ANTH 25310,Third- or fourth-year standing. This course does not meet requirements for the biological sciences major.
ANTH 25325,!NONE
ANTH 25401,!NONE
ANTH 25410,!NONE
ANTH 25500,!NONE
ANTH 25510,undefined
ANTH 25900,!NONE
ANTH 25905,Knowledge of Arabic and/or Islamic studies helpful but not required
ANTH 26020,!NONE
ANTH 26315,!NONE
ANTH 26320,!NONE
ANTH 26325,!NONE
ANTH 26505,!NONE
ANTH 26710,!NONE
ANTH 26711,NEAA 20061
ANTH 26715,Any course in archaeology or permission of instructor
ANTH 26830,!NONE
ANTH 26900,Advanced standing and consent of instructor
ANTH 27130,!NONE
ANTH 27135,!NONE
ANTH 27300,!NONE
ANTH 27305,Upper-level undergrad course. 
ANTH 27400,!NONE
ANTH 27505,!NONE
ANTH 27510,!NONE
ANTH 27605,!NONE
ANTH 27700,!NONE
ANTH 27705,!NONE
ANTH 28010,BIOS 10110  or 10130
ANTH 28100,Third- or  fourth-year standing and consent of instructor
ANTH 28200,!NONE
ANTH 28210,!NONE
ANTH 28300,!NONE
